name,named
leo bigelman,"['sam reznick']"
elizabeth wilson,"['mrs. richard criley']"
max appelman,"['jessie pedrick']"
waldo salt,"['richard collins', 'leo townsend', 'david raksin', 'budd schulberg', 'n. y.', 'reis rosenberg']"
anne kinney,"['lillian lowenfels', 'betty. martin', 'jean richardson', 'paul cline', 'carl brandt', 'leona mcginty', 'v. j.', 'john leech', 'larne mccormiek', 'jack ginsberg', 'beulah wales', 'bella lewitzky', 'sonya solotoy', 'marian shire', 'bea baron', 'barta numovna', 'fanya friedman', 'benny goodman', 'allen l ryan', 'maureen ryan', 'bea burke', 'zara becker', 'george sandy', 'libby minkus', 'sanders shelf', 'george mclean', 'al heltness', 'joseph zadow', 'evelyn fargo', 'zema matlin', 'neil hignian', 'tom brown', 'janet scott', 'frank parsons', 'reva handle', 'bill ingham', 'ethel holmstock', 'pettis perry', 'betty seklen', 'dorothy zadow', 'john bevins', 'henry shire', 'emily gordon', 'gertrude selig', 'leo bigelman', 'miriam holtz', 'louise. todd', 'anya lieberson', 'alexander riskin', 'lillian jones', 'rose segure', 'frank beye', 'betty arden', 'jane wilson', 'bert stone', 'george shaffer', 'morton nadler', 'james tourney', 'john spears', 'ruth s ryan', 'albert lockett', 'holland roberts', 'morrie smolan', 'jack fox', 'sam gelfand', 'dorothy pezman', 'jane march', 'sam kalish', 'jens simousgard', 'abraham mlnkus', 'harry shepro', 'harry c. steinmetz', 'wilhelmina maise', 'euenore abowitz', 'henrietta palley', 'don gordon', 'arcus reddock', 'harry tarnoff', 'jules carson', 'tassia freed', 'herbert klein', 'evelyn keller', 'rose most', 'betty gannett', 'lucy arnold', 'howland chamberlin', 'fred putnam', 'margaret ginsberg', 'sue cohen', 'angelina riskin', 'rose bush', 'donald murray', 'john matsuto', 'jack wetherwax', 'dolph winebrenner', 'helen mallof', 'margaret wilson', 'honor carey', 'william schneiderman', 'milton casluier', 'emil freed', 'john jeffrey', 'sara kusiiitz', 'jerome robbins', 'miriam brooks', 'jay moss', 'sarah simonsgard', 'rude lauibtmt', 'carl winter', 'joan place', 'carl hanson', 'lou baron', 'albert byler', 'milton henry', 'leo selfrid', 'jack 01', 'eddie fisher', 'lawrence west', 'matilda lewis', 'walter laniliert', 'max bogner', 'abraham maymadus', 'richard byrd lewis', 'libby jacobson', 'oscar fuss', 'myrtle wixman', 'frank oppenheimer', 'bob chasson', 'minna klein', 'nina ingham', 'jean mayer', 'helen gardner', 'elizabeth leech', 'leo baroway', 'sam wixman', 'n. y.', 'harrison george']"
howland chamberlin,"['mrs. charles glenn']"
edward dmytryk,"['francis e faragoh']"
marguerite roberts,"['john sanford']"
gale sondergaard,"['edith holm sond', 'mrs. herbert biberman']"
murray abowitz,"['roy huggins', 'dr. mendell m. krieger']"
david a. lang,"['gordon kahn', 'arnold manoff', 'val burton', 'elliott grennard', 'pauline laserfin', 'dalton trmiibo', 'seymour bennett', 'charles leonard', 'michael uris', 'maurice clark', 'julian zimet', 'inirs. alvah bessie', 'lester cole', 'morton grant', 'cyril endfield', 'arthur birnkarnt', 'helen leonard', 'marvin bargeman', 'victor shapiro', 'ann r richards', 'bob roberts', 'adrian scott', 'nicholas bela', 'sam horn', 'harold buchman', 'john stanford', 'john h lawson', 'maurice rapf', 'connie l bennett', 'leslie edgley', 'walter laniliert', 'paul trabusis', 'wilma shore', 'waldo salt', 'howard dimsdale', 'henry peterson', 'john wexley', 'ella winter', 'howard koch', 'dan james', 'lou solomon', 'mortimer offner', 'estelle foreman', 'hugo butler', 'edward huebsch', 'bess taffel', 'frank parsons', 'carl foreman', 'dorothy comingore', 'louise moss', 'bertha bargeman', 'madelaine ruthven', 'william schneiderman', 'edith landall', 'marguerite roberts', 'frank tarloff', 'allen boretz', 'edward biberman', 'laurie blankfort', 'alfred levitt', 'george sklar', 'henriette martin', 'john bright', 'michael wilson', 'guy endore', 'harry norman', 'k. funn', 'paul curtis', 'henry blankfort', 'eunice mindlin']"
melvin levy,"['thomas delaney']"
john sanford,"['elizabeth wilson']"
carl foreman,"['melvin levy', 'stanley roberts', 'william z. foster']"
robert rossen,"['ian hunter', 'dalton trmiibo', 'ben barzman', 'georgia backus', 'michael uris', 'leo townsend', 'inirs. alvah bessie', 'lester cole', 'hyman s kraft', 'pauline l finn', 'lou solomon', 'leo bigelman', 'victor shapiro', 'ann r richards', 'adrian scott', 'maurice clark', 'harold buchman', 'lilith james', 'marguerite roberts', 'lou harris', 'reis rosenberg', 'maurice rapf', 'bernard vorhaus', 'henry peterson', 'john wexley', 'madelaine ruthven', 'hugo butler', 'lester fuller', 'anne ray frank', 'paul jarrico', 'edith landall', 'william pomerance', 'glenda sullivan', 'richard collins', 'josef michel', 'stanley roberts', 'john bright', 'morton grant', 'guy endore', 'fred rinaldo', 'henry blankfort']"
herta uerkvitz,"['elizabeth wilson']"
henry blankfort,"['edward dmytryk']"
sam moore,"['owen vinson']"
lilith james,"['roy huggins']"
harold buchman,"['elizabeth wilson', 'anne ray frank', 'leo townsend']"
bess taffel,"['leo townsend']"
paul jarrico,"['elizabeth wilson', 'isobel lennart', 'charles daggett', 'budd schulberg', 'david raksin', 'anne ray frank', 'paul jarrico', 'paul marion', 'richard collins', 'reis rosenberg']"
morris carnovsky,"['elia kazan', 'charles daggett', 'leo townsend', 'marc lawrence']"
alvin hammer,"['paul marion']"
jerome robinson,"['edward chodorov', 'lionel berman', 'jerome chodorov', 'herbert robbins', 'lloyd gough', 'madeline lee', 'lettie stever', 'edna ocko', 'elliott sullivan', 'jerome robbins']"
leonardo bercovici,"['richard collins', 'edward dmytryk']"
harold ashe,"['donald o. spencer', 'thomas delaney', 'bereniece baldwin']"
bernyce polifka fleury,"['mrs. eugene']"
meta reis rosenberg,"['francis e faragoh']"
charles garrigues,"['stanley hancock', 'sarah bognoff', 'morrie smolan', 'paul cline']"
michael gordon,"['frank tuttle']"
sol short,"['maurice clark', 'hugo butler', 'sylvia siegel', 'carl foreman', 'mortimer offner', 'lester cole']"
michael wilson,"['donald o. spencer', 'bernard schoenfeld']"
bart lytton,"['ann r richards', 'john wexley', 'dan james', 'maurice clark', 'elizabeth leech', 'lilith james', 'sondra gorney', 'john h lawson', 'stanley praeger']"
jeff corey,"['paul marion', 'marc lawrence']"
larry parks,"['gale sondergaard', 'mr. rossen', 'ann revere', 'victor killian', 'lloyd gough', 'karen morley', 'morris carnovsky', 'dorothy tree']"
carl foreman,"['bereniece baldwin', u""richard f. o'hair""]"
alfred levitt,"['melvin levy']"
percy solotoy,"['harold ashe', 'charles daggett', 'mildred ashe']"
george willner,"['isobel lennart', 'melvin levy', 'reis rosenberg']"
jerry fielding,"['donald o. spencer']"
robert l. richards,"['roy huggins']"
daniel lewis james,"['leo townsend']"
hannah donath,"['mrs ludwig donath', 'mrs. donath']"
reuben ship,"['paul marion']"
francis edward faragoh,"['reis rosenberg', 'edward dmytryk']"
will geer,"['harold ashe']"
william l. alland,"['walter scott dunn', 'shelton tappes', 'wayne b. salisbury', 'bereniece baldwin', u""richard f. o'hair""]"
george bassman,"['david aaron', 'william g. israel']"
victor killian,"['albert herzig', 'milton s. tyre', 'david aaron', 'william g. israel']"
richard byrd lewis,"['harry shepro', 'honor carey', 'matilda lewis', 'richard byrd lewis', 'anna shepro', 'sam kalish', 'barta numovna', 'abraham mlnkus', 'zara becker']"
lloyd gough,"['paul marion', 'stanley roberts']"
joseph springer,"['joe saul', 'what is smith']"
charles daggett,"['robert wachsman']"
john w. porter,"['albert herzig', 'milton s. tyre', 'david aaron', 'william g. israel']"
philip edward stevenson,"['roy huggins']"
ellenore abowitz,"['roy huggins', 'mrs. murray abo', 'dr. mendell m. krieger']"
james burford,"['wayne b. salisbury']"
edward huebsch,"['frank tuttle', 'stanley roberts', 'melvin levy', 'leo townsend']"
julian
